Edad simple;Sexo;Periodo;Total
2 años;Total;1 de julio de 2019;409.991
2 años;Total;1 de abril de 2019;""
2 años;Total;1 de enero de 2019;418.510
2 años;Total;1 de octubre de 2018;""
2 años;Total;1 de julio de 2018;421.580
2 años;Total;1 de abril de 2018;""
2 años;Total;1 de enero de 2018;425.295
2 años;Total;1 de octubre de 2017;""
2 años;Total;1 de julio de 2017;426.798
2 años;Total;1 de abril de 2017;""
2 años;Total;1 de enero de 2017;429.017
2 años;Total;1 de octubre de 2016;""
2 años;Total;1 de julio de 2016;426.810
2 años;Total;1 de abril de 2016;""
2 años;Total;1 de enero de 2016;425.175
2 años;Total;1 de octubre de 2015;""
2 años;Total;1 de julio de 2015;438.083
2 años;Total;1 de abril de 2015;""
2 años;Total;1 de enero de 2015;451.086
2 años;Total;1 de octubre de 2014;""
2 años;Total;1 de julio de 2014;460.764
2 años;Total;1 de abril de 2014;""
2 años;Total;1 de enero de 2014;471.029
2 años;Total;1 de octubre de 2013;""
2 años;Total;1 de julio de 2013;476.632
2 años;Total;1 de abril de 2013;""
2 años;Total;1 de enero de 2013;481.249
2 años;Total;1 de octubre de 2012;""
2 años;Total;1 de julio de 2012;487.816
2 años;Total;1 de abril de 2012;""
2 años;Total;1 de enero de 2012;494.158
2 años;Total;1 de octubre de 2011;""
2 años;Total;1 de julio de 2011;507.794
2 años;Total;1 de abril de 2011;""
2 años;Total;1 de enero de 2011;520.875
2 años;Total;1 de octubre de 2010;""
2 años;Total;1 de julio de 2010;510.697
2 años;Total;1 de abril de 2010;""
2 años;Total;1 de enero de 2010;499.803
2 años;Total;1 de octubre de 2009;""
2 años;Total;1 de julio de 2009;497.365
2 años;Total;1 de abril de 2009;""
2 años;Total;1 de enero de 2009;494.118
2 años;Total;1 de octubre de 2008;""
2 años;Total;1 de julio de 2008;487.580
2 años;Total;1 de abril de 2008;""
2 años;Total;1 de enero de 2008;480.228
2 años;Total;1 de octubre de 2007;""
2 años;Total;1 de julio de 2007;474.519
2 años;Total;1 de abril de 2007;""
2 años;Total;1 de enero de 2007;468.036
2 años;Total;1 de octubre de 2006;""
2 años;Total;1 de julio de 2006;461.508
2 años;Total;1 de abril de 2006;""
2 años;Total;1 de enero de 2006;454.642
2 años;Total;1 de octubre de 2005;""
2 años;Total;1 de julio de 2005;442.571
2 años;Total;1 de abril de 2005;""
2 años;Total;1 de enero de 2005;430.777
2 años;Total;1 de octubre de 2004;""
2 años;Total;1 de julio de 2004;427.364
2 años;Total;1 de abril de 2004;""
2 años;Total;1 de enero de 2004;424.037
2 años;Total;1 de octubre de 2003;""
2 años;Total;1 de julio de 2003;416.035
2 años;Total;1 de abril de 2003;""
2 años;Total;1 de enero de 2003;406.441
