Total,Año,Edad
7448,1988,94
5118,1988,95
3514,1988,96
2807,1988,97
2163,1988,98
1406,1988,99
410145,1989,0
417583,1989,1
427414,1989,2
446618,1989,3
471607,1989,4
482613,1989,5
515217,1989,6
540397,1989,7
567809,1989,8
594419,1989,9
627851,1989,10
641194,1989,11
666856,1989,12
672596,1989,13
671489,1989,14
666240,1989,15
668260,1989,16
663869,1989,17
657268,1989,18
651364,1989,19
645979,1989,20
655538,1989,21
650924,1989,22
646924,1989,23
656343,1989,24
641181,1989,25
617205,1989,26
601287,1989,27
604099,1989,28
594932,1989,29
582898,1989,30
574086,1989,31
550578,1989,32
525847,1989,33
509539,1989,34
503649,1989,35
506869,1989,36
491308,1989,37
473790,1989,38
490177,1989,39
520100,1989,40
498220,1989,41
467067,1989,42
490401,1989,43
476529,1989,44
462466,1989,45
431903,1989,46
387214,1989,47
468848,1989,48
389863,1989,49
358573,1989,50
407190,1989,51
462853,1989,52
453210,1989,53
446963,1989,54
467261,1989,55
465224,1989,56
454152,1989,57
457396,1989,58
442902,1989,59
433013,1989,60
418158,1989,61
412357,1989,62
402114,1989,63
390043,1989,64
380129,1989,65
373820,1989,66
357105,1989,67
333679,1989,68
299900,1989,69
276176,1989,70
264381,1989,71
251045,1989,72
248065,1989,73
242092,1989,74
231652,1989,75
223069,1989,76
209030,1989,77
199164,1989,78
182355,1989,79
164434,1989,80
148285,1989,81
130994,1989,82
117089,1989,83
98188,1989,84
86580,1989,85
74785,1989,86
61142,1989,87
52582,1989,88
38515,1989,89
26610,1989,90
20637,1989,91
16177,1989,92
11851,1989,93
8077,1989,94
